name;identifier;SMILES;inchikey;MW;LogP;pubchem;drugbank;pdb;chEMBL;membrane;method;temperature;charge;note;X_min;X_min_acc;G_pen;G_pen_acc;G_wat;G_wat_acc;LogK;LogK_acc;LogPerm;LogPerm_acc;theta;theta_acc;abs_wl;abs_wl_acc;fluo_wl;fluo_wl_acc;QY;QY_acc;lt;lt_acc;primary_reference;secondary_reference
4-(dimethylamino)-1,5-dimethyl-2-phenylpyrazol-3-one;MM00331;Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C;RMMXTBMQSGEXHJ-UHFFFAOYSA-N;231.299;1.55;6009;DB01424;;CHEMBL288470;CACO;ECACO;37;0;;;;;;;;;;-4.44;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
4-hydroxy-2-methyl-1,1-dioxo-N-pyridin-2-yl-1lambda6,2-benzothiazine-3-carboxamide;MM00682;CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O;QYSPLQLAKJAUJT-UHFFFAOYSA-N;331.346;1.58;54676228;DB00554;;CHEMBL527;CACO;ECACO;37;-1;;;;;;;;;;-4.45;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
7-chloro-1-methyl-5-phenyl-3H-1,4-benzodiazepin-2-one;MM00094;CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21;AAOVKJBEBIDNHE-UHFFFAOYSA-N;284.743;3.15;3016;DB00829;DZP;CHEMBL12;CACO;ECACO;37;0;;;;;;;;;;-4.48;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
Caffeine;MM00040;Cn1c(=O)c2c(ncn2C)n(C)c1=O;RYYVLZVUVIJVGH-UHFFFAOYSA-N;194.194;-1.03;2519;DB00201;CFF;CHEMBL113;CACO;ECACO;37;0;;;;;;;;;;-4.51;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
Nevirapine;MM01034;Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1;NQDJXKOVJZTUJA-UHFFFAOYSA-N;266.304;2.65;4463;DB00238;NVP;CHEMBL57;CACO;ECACO;37;0;;;;;;;;;;-4.52;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
5,5-diphenylimidazolidine-2,4-dione;MM00406;O=C1N=C(O)NC1(c1ccccc1)c1ccccc1;CXOFVDLJLONNDW-UHFFFAOYSA-N;252.273;1.97;1775;DB00252;;CHEMBL16;CACO;ECACO;37;1;;;;;;;;;;-4.57;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
1-(propan-2-ylamino)-3-(2-prop-2-enylphenoxy)propan-2-ol;MM00440;C=CCc1ccccc1OC[C@H](O)CNC(C)C;PAZJSJFMUHDSTF-UHFFFAOYSA-N;249.354;2.15;2119;DB00866;;CHEMBL266195;CACO;ECACO;37;1;;;;;;;;;;-4.6;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
Testosterone;MM00423;CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12;MUMGGOZAMZWBJJ-UHFFFAOYSA-N;288.431;3.88;6013;DB00624;TES;CHEMBL386630;CACO;ECACO;37;0;;;;;;;;;;-4.6;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
1-(1-phenylcyclohexyl)piperidine;MM01035;c1ccc(C2(N3CCCCC3)CCCCC2)cc1;JTJMJGYZQZDUJJ-UHFFFAOYSA-N;243.394;4.33;6468;DB03575;1PC;CHEMBL275528;CACO;ECACO;37;1;;;;;;;;;;-4.61;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N-methylpropan-1-amine;MM00474;CNCCCN1c2ccccc2CCc2ccccc21;HCYAFALTSJYZDH-UHFFFAOYSA-N;266.388;3.53;2995;DB01151;DSM;CHEMBL72;CACO;ECACO;37;1;;;;;;;;;;-4.61;;;;;;;;;;;;"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998.";"Yazdanian M., Glynn S.L., Wright  J.L., Hawi A.: Correlating partitioning and Caco-2 cell permeability of structurally diverse small molecular weight compounds. Pharm Res., 15(9):1490-1494, 1998."
